id,Регион (справочник),Варианты в файле
reciJWiN9p2x2hLiW,Курская область,ГОНЧАРОВКА СУДЖАНСКОГО РАЙОНА КУРСКОЙ ОБЛАСТИ; ЖЕЛЕЗНОГОРСК КУРСКОЙ ОБЛАСТИ; ЗАБУЖЕВКА БЕЛОВСКОГО РАЙОНА КУРСКОЙ ОБЛАСТИ; КУРСК КУРСКОЙ ОБЛАСТИ; КУРЧАТОВ КУРСКОЙ ОБЛАСТИ; КШЕНСКИЙ СОВЕТСКОГО РАЙОНА КУРСКОЙ ОБЛАСТИ; ЛЕЖЕНЬКИ ТИМСКОГО РАЙОНА КУРСКОЙ ОБЛАСТИ; ЛИБКНЕХТА КУРЧАТОВСКОГО РАЙОНА КУРСКОЙ ОБЛАСТИ; ЛЮБАЖ ФАТЕЖСКОГО РАЙОНА КУРСКОЙ ОБЛАСТИ; МАГНИТНЫЙ ЖЕЛЕЗНОГОРСКОГО РАЙОНА КУРСКОЙ ОБЛАСТИ; МИРОЛЮБОВО ФАТЕЖСКОГО РАЙОНА КУРСКОЙ ОБЛАСТИ; МИХАЙЛОВКА ЖЕЛЕЗНОГОРСКОГО РАЙОНА КУРСКОЙ ОБЛАСТИ; НОВОДВОРСКИЙ КАСТОРЕНСКОГО РАЙОНА КУРСКОЙ ОБЛАСТИ; ПОГОРЕЛЬЦЕВО ЖЕЛЕЗНОГОРСКОГО РАЙОНА КУРСКОЙ ОБЛАСТИ; ПРИСТЕННОЕ ПРИСТЕНСКОГО РАЙОНА КУРСКОЙ ОБЛАСТИ; ПРЯМИЦЫНО ОКТЯБРЬСКОГО РАЙОНА КУРСКОЙ ОБЛАСТИ; РОДНИКОВОЕ ПОНЫРОВСКОГО РАЙОНА КУРСКОЙ ОБЛАСТИ
reckdz1EMGYEApxqO,Кызылординская область,ЯНЫКУРГАНСКИЙ РАЙОН КЫЗЫЛОРДИНСКОЙ ОБЛАСТИ
rec3mWe1jgw7E0JIb,Ленинградская область,БОКСИТОГОРСК ЛЕНИНГРАДСКОЙ ОБЛАСТИ; БУСТОН МАШГИНСКОГО РАЙОНА ЛЕНИНГРАДСКОЙ ОБЛАСТИ; ВИСТИНО КОНГИСЕППСКОГО РАЙОНА ЛЕНИНГРАДСКОЙ ОБЛАСТИ; ВОЛОСОВО ВОЛОСОВСКОГО РАЙОНА ЛЕНИНГРАДСКОЙ ОБЛАСТИ; ВОЛХОВ ЛЕНИНГРАДСКОЙ ОБЛАСТИ; ВСЕВОЛОЖСК ЛЕНИНГРАДСКОЙ ОБЛАСТИ; ВЫБОРГ ЛЕНИНГРАДСКОЙ ОБЛАСТИ; ГАТЧИНА ЛЕНИНГРАДСКОЙ ОБЛАСТИ; ГЛЕБЫЧЕВО ВЫБОРГСКОГО РАЙОНА ЛЕНИНГРАДСКОЙ ОБЛАСТИ; КИНГИСЕПП ЛЕНИНГРАДСКОЙ ОБЛАСТИ; КИРИШИ ЛЕНИНГРАДСКОЙ ОБЛАСТИ; ЛЕБЯЖЬЕ ЛОМОНОСОВСКОГО РАЙОНА ЛЕНИНГРАДСКОЙ ОБЛАСТИ; ЛЕНИНГРАД ЛЕНИНГРАДСКОЙ ОБЛАСТИ; ЛЕСКОЛОВО ВСЕВОЛОЖСКОГО РАЙОНА ЛЕНИНГРАДСКОЙ ОБЛАСТИ; ЛУГА ЛЕНИНГРАДСКОЙ ОБЛАСТИ; МГА КИРОВСКОГО РАЙОНА ЛЕНИНГРАДСКОЙ ОБЛАСТИ; ПИКАЛЕВО ЛЕНИНГРАДСКОЙ ОБЛАСТИ; ПУДОМЯГИ ГАТЧИНСКОГО РАЙОНА ЛЕНИНГРАДСКОЙ ОБЛАСТИ; САБЕК ВОЛОСОВСКОГО РАЙОНА ЛЕНИНГРАДСКОЙ ОБЛАСТИ; СЕЛЬЦО ВОЛОСОВСКОГО РАЙОНА ЛЕНИНГРАДСКОЙ ОБЛАСТИ; ТИХВИН ЛЕНИНГРАДСКОЙ ОБЛАСТИ; ТОСНО ЛЕНИНГРАДСКОЙ ОБЛАСТИ
recxpOzJuOWxoNy84,Липецкая область,ГРЯЗИ ЛИПЕЦКОЙ ОБЛАСТИ; ДОБРИНКА ДОБРИНСКОГО РАЙОНА ЛИПЕЦКОЙ ОБЛАСТИ; ЕЛЕЦ ЛИПЕЦКОЙ ОБЛАСТИ; ИЗЛЕГОЩЕ УСМАНСКОГО РАЙОНА ЛИПЕЦКОЙ ОБЛАСТИ; КАЗАКИ ЕЛЕЦКОГО РАЙОНА ЛИПЕЦКОЙ ОБЛАСТИ; КОСЫРЕВКА ЛИПЕЦКОГО РАЙОНА ЛИПЕЦКОЙ ОБЛАСТИ; КОШАРА ЗАДОНСКОГО РАЙОНА ЛИПЕЦКОЙ ОБЛАСТИ; ЛИПЕЦК ЛИПЕЦКОЙ ОБЛАСТИ; ПЕРЕЗВАЛЬ ДАНКОВСКОГО РАЙОНА ЛИПЕЦКОЙ ОБЛАСТИ; ТАЛИЦКОЕ ДОБРИНСКОГО РАЙОНА ЛИПЕЦКОЙ ОБЛАСТИ; УСМАНЬ ЛИПЕЦКОЙ ОБЛАСТИ
recyiRK2Q4GwXfCYN,Луганская область,АЛЕКСЕЕВКА НОВОАЙДАРСКОГО РАЙОНА ЛУГАНСКОЙ ОБЛАСТИ; АЛЧЕВСК ЛУГАНСКОЙ ОБЛАСТИ; АНТРАЦИТ ЛУГАНСКОЙ ОБЛАСТИ; БЕЛОВОДСК ЛУГАНСКОЙ ОБЛАСТИ; БРЯНКА ЛУГАНСКОЙ ОБЛАСТИ; БУТОВО СТАРОБЕЛЬСКОГО РАЙОНА ЛУГАНСКОЙ ОБЛАСТИ; ВЕРХНЕБОГДАНОВКА СТАНИЧНО-ЛУГАНСКОГО РАЙОНА ЛУГАНСКОЙ ОБЛАСТИ; ВЕСЕЛОЕ МАРКОВСКОГО РАЙОНА ЛУГАНСКОЙ ОБЛАСТИ; ГОНЧАРОВКА СВАТОВСКОГО РАЙОНА ЛУГАНСКОЙ ОБЛАСТИ; ДМИТРИЕВКА НОВОАЙДАРСКОГО РАЙОНА ЛУГАНСКОЙ ОБЛАСТИ; ДУВАНКА СВАТОВСКОГО РАЙОНА ЛУГАНСКОЙ ОБЛАСТИ; ЕВСУГ БЕЛОВОДСКОГО РАЙОНА ЛУГАНСКОЙ ОБЛАСТИ; ЗОРИНСК ПЕРЕВАЛЬСКОГО РАЙОНА ЛУГАНСКОЙ ОБЛАСТИ; КАЗАЧИЙ СТАНИЧНО-ЛУГАНСКОГО РАЙОНА ЛУГАНСКОЙ ОБЛАСТИ; КОММУНАРСК ЛУГАНСКОЙ ОБЛАСТИ; КРАСНОДОН ЛУГАНСКОЙ ОБЛАСТИ; КРАСНОДОН ЛУГАНСКОЙ ОБЛАСТИ РЕСПУБЛИКИ; КРЕМЕННАЯ ЛУГАНСКОЙ ОБЛАСТИ; ЛИСИЧАНСК ЛУГАНСКОЙ ОБЛАСТИ; ЛУГАНСК ЛУГАНСКОЙ ОБЛАСТИ; ЛУГАНСК РЕСПУБЛИКИ; ЛУГАНСКАЯ ОБЛАСТЬ; МАРКОВКА МАРКОВСКОГО РАЙОНА ЛУГАНСКОЙ ОБЛАСТИ; МЕЛОВОЕ МЕЛОВСКОГО РАЙОНА ЛУГАНСКОЙ ОБЛАСТИ; МОЛОДОГВАРДЕЙСК ЛУГАНСКОЙ ОБЛАСТИ; НЕЩЕРЕТОВО БЕЛОКУРАКИНСКОГО РАЙОНА ЛУГАНСКОЙ ОБЛАСТИ; НОВОНИКОЛЬСК КРЕМЕНСКОГО РАЙОНА ЛУГАНСКОЙ ОБЛАСТИ; НОВОСВЕТЛОВКА КРАСНОДОНСКОГО РАЙОНА ЛУГАНСКОЙ ОБЛАСТИ; ПЕРВОМАЙСКА ЛУГАНСКАЯ ОБЛАСТИ; ПЕТРОВКА СТАНИЧНО-ЛУГАНСКОГО РАЙОНА ЛУГАНСКОЙ ОБЛАСТИ; ПЛАХО-ПЕТРОВКА БЕЛОКУРАКИНСКОГО РАЙОНА ЛУГАНСКОЙ ОБЛАСТИ; ПОДГОРОВКА СТАРОБЕЛЬСКОГО РАЙОНА ЛУГАНСКОЙ ОБЛАСТИ; ПОКРОВКА СТАРОБЕЛЬСКОГО РАЙОНА ЛУГАНСКОЙ ОБЛАСТИ; ПРИВОЛЬЕ ЛУГАНСКОЙ ОБЛАСТИ; РОВЕНЬКИ ЛУГАНСКОЙ ОБЛАСТИ; РОСКОШНОЕ ЛУТУГИНСКОГО РАЙОНА ЛУГАНСКОЙ ОБЛАСТИ; РУБЕЖНОЕ ЛУГАНСКОЙ ОБЛАСТИ; РУБЕЖНОЕ СЕВЕРОДОНЕЦКОГО РАЙОНА ЛУГАНСКОЙ ОБЛАСТИ; СВАТОВО ЛУГАНСКОЙ ОБЛАСТИ; СВАТОВСКОГО РАЙОНА ЛУГАНСКОЙ НАРОДНОЙ РЕСПУБЛИКИ; СЕВЕРОДОНЕЦК ЛУГАНСКОЙ ОБЛАСТИ; СЛАВЯНОСЕРБСК ЛУГАНСКОЙ ОБЛАСТИ; СТАНИЧНО-ЛУГАНСКОЕ СТАНИЧНО-ЛУГАНСКОГО РАЙОНА ЛУГАНСКОЙ ОБЛАСТИ; СТАРОБЕЛЬСК ЛУГАНСКАЯ ОБЛАСТЬ; СТАРОБЕЛЬСК ЛУГАНСКОЙ ОБЛАСТИ; СТАРОБЕЛЬСК СТАРОБЕЛЬСКОГО РАЙОНА ЛУГАНСКОЙ ОБЛАСТИ; СТАХАНОВ ЛУГАНСКОЙ ОБЛАСТИ; СЧАСТЬЕ ЖОВТНЕВОГО РАЙОНА ЛУГАНСКОЙ ОБЛАСТИ; СЧАСТЬЕ ЛУГАНСКОЙ ОБЛАСТИ; ТЕПЛОГОРСК ЛУГАНСКОЙ ОБЛАСТИ УКРАИНСКОЙ АССР; ЧМИРОВКА СТАРОБЕЛЬСКОГО РАЙОНА ЛУГАНСКОЙ ОБЛАСТИ; ЧМЫРОВКА СТАРОБЕЛЬСКОГО РАЙОНА ЛУГАНСКАЯ ОБЛАСТИ; ЧМЫРОВКА СТАРОБЕЛЬСКОГО РАЙОНА ЛУГАНСКОЙ ОБЛАСТИ
rec4uWfnpLsPOUyO0,Львовская область,БАР ГОРОДОКСКОГО РАЙОНА ЛЬВОВСКОЙ ОБЛАСТИ; БОРИСЛАВ ЛЬВОВСКОЙ ОБЛАСТИ; ИВАНО-ФРАНКО ДРАГОБЫЧСКОГО РАЙОНА ЛЬВОВСКОЙ ОБЛАСТИ; КАРПАТСКОЕ ЛЬВОВСКОЙ ОБЛАСТИ; ЛЬВОВ ЛЬВОВСКОЙ ОБЛАСТИ; МАЙДАН ЖОЛКОВСКОГО РАЙОНА ЛЬВОВСКОЙ ОБЛАСТИ; НОВОЕ СЕЛО ЛЬВОВСКОЙ ОБЛАСТИ; ПОДКАМЕНЬ БОРДОВСКОГО РАЙОНА ЛЬВОВСКОЙ ОБЛАСТИ; РАДЕХОВ ЛЬВОВСКОЙ ОБЛАСТИ; СОКАЛЬ ЛЬВОВСКОЙ ОБЛАСТИ; СОСНОВКА ЛЬВОВСКОЙ ОБЛАСТИ; СТРИЙ ЛЬВОВСКОЙ ОБЛАСТИ РЕСПУБЛИКИ; СТРЫЙ ЛЬВОВСКОЙ ОБЛАСТИ; СУДОВАЯ ВИШНЯ ЛЬВОВСКОЙ ОБЛАСТИ; ТРУСКАВЦА ЛЬВОВСКОЙ ОБЛАСТИ; ХЛОПЧИЦЫ САМБОРСКОГО РАЙОНА ЛЬВОВСКОЙ ОБЛАСТИ; ХЫРОВ ЛЬВОВСКОЙ ОБЛАСТИ; ЧЕРВОНОГРАД ЛЬВОВСКОЙ ОБЛАСТИ
rec4jnYKxDTkbYmtS,Магаданская область,АЛИСКЕРОВО БИЛИБИНСКОГО РАЙОНА МАГАДАНСКОЙ ОБЛАСТИ; АНАДЫРЬ МАГАДАНСКОЙ ОБЛАСТИ; АРМАНЬ ОЛЬСКОГО РАЙОНА МАГАДАНСКОЙ ОБЛАСТИ; АТКА ХАСЫНСКОГО РАЙОНА МАГАДАНСКОЙ ОБЛАСТИ; БУРХАЛА ЯГОДНИНСКОГО РАЙОНА МАГАДАНСКОЙ ОБЛАСТИ; ВАЛЬКУМЕЙ ЧАУНСКОГО РАЙОНА МАГАДАНСКОЙ ОБЛАСТИ; ЛАВРЕНТИЯ ЧУКОТСКОГО РАЙОНА МАГАДАНСКОЙ ОБЛАСТИ; МАГАДАН МАГАДАНСКОЙ ОБЛАСТИ; МАГАДАНСКАЯ ОБЛАСТЬ; МЯУНДЖА СУСУМАНСКОГО РАЙОНА МАГАДАНСКОЙ ОБЛАСТИ; НЕКСИКАН МАГАДАНСКОЙ ОБЛАСТИ; НЕКСИКАН СУСУМАНСКОГО РАЙОНА МАГАДАНСКОЙ ОБЛАСТИ; ОЛА МАГАДАНСКОЙ ОБЛАСТИ; ОМСУКЧАН МАГАДАНСКОЙ ОБЛАСТИ; ОМЧАК ТЕНЬКИНСКОГО РАЙОНА МАГАДАНСКОЙ ОБЛАСТИ; СЕЙМЧАН СРЕДНЕКАНСКОГО РАЙОНА МАГАДАНСКОЙ ОБЛАСТИ; СИНЕГОРЬЕ ЯГОДНИНСКОГО РАЙОНА МАГАДАНСКОЙ ОБЛАСТИ; СПОРНОЕ ЯГОДНИНСКОГО РАЙОНА МАГАДАНСКОЙ ОБЛАСТИ; СУСУМАН МАГАДАНСКОЙ ОБЛАСТИ; СУСУМАН СУСУМАНСКОГО РАЙОНА МАГАДАНСКОЙ ОБЛАСТИ; ЯГОДНОЕ ЯГОДНИНСКОГО РАЙОНА МАГАДАНСКОЙ ОБЛАСТИ; ЯНСКИЙ ОЛЬСКОГО РАЙОНА МАГАДАНСКОЙ ОБЛАСТИ
rectZJmp44QwTzaiE,Минская область,ГОРКА ПУХОВИЧСКОГО РАЙОНА МИНСКОЙ ОБЛАСТИ; ЗВЕЗДА КЛЕЦКОГО РАЙОНА МИНСКОЙ ОБЛАСТИ; КАДКА ГЛУССКОГО РАЙОНА МИНСКОЙ ОБЛАСТИ; КАПЛАНЦЫ БЕРЕЗИНСКОГО РАЙОНА МИНСКОЙ ОБЛАСТИ; МИНСК РЕСПУБЛИКИ; СОЛИГОРСК МИНСКОЙ ОБЛАСТИ РЕСПУБЛИКИ; СТАРЫЕ ДОРОГИ МИНСКОЙ ОБЛАСТИ РЕСПУБЛИКИ
recVhv9amSr1tHdQh,Москва,МОСКВА; МОСКВА МОСКОВСКОГО РАЙОНА АНДИЖАНСКОЙ ОБЛАСТИ
recFS6HNEbkOnCHNI,Московская область,БАЛАШИХА МОСКОВСКОЙ ОБЛАСТИ; БУТЫНЬ ОДИНЦОВСКОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ; ВЕРБИЛКИ ТАЛДОМСКОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ; ВЕРЕЯ ОРЕХОВО-ЗУЕВСКОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ; ВОЛОКОЛАМСК МОСКОВСКОЙ ОБЛАСТИ; ДАВЫДОВО ОРЕХОВО-ЗУЕВСКОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ; ДЕДОВСК ИСТРИНСКОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ; ДЕДОВСК МОСКОВСКОЙ ОБЛАСТИ; ДМИТРОВ МОСКОВСКОЙ ОБЛАСТИ; ДОЛГОПРУДНЫЙ МОСКОВСКОЙ ОБЛАСТИ; ДОМОДЕДОВО МОСКОВСКОЙ ОБЛАСТИ; ДОРЫ ЛОТОШИНСКОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ; ДУБНА МОСКОВСКОЙ ОБЛАСТИ; ЕГОРЬЕВСК МОСКОВСКОЙ ОБЛАСТИ; ЖЕЛЕЗНОДОРОЖНЫЙ МОСКОВСКОЙ ОБЛАСТИ; ЖУКОВСКИЙ МОСКОВСКОЙ ОБЛАСТИ; ЗАВОД ИСТРИНСКОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ; ЗАГОРСК МОСКОВСКОЙ ОБЛАСТИ; ИВАНТЕЕВКА МОСКОВСКОЙ ОБЛАСТИ; КАЛИНИНГРАД МОСКОВСКОЙ ОБЛАСТИ; КОЛОМНА МОСКОВСКОЙ ОБЛАСТИ; КОРОЛЕВ МОСКОВСКОЙ ОБЛАСТИ; КРАСКОВО ЛЮБЕРЕЦКОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ; КРАСНОАРМЕЙСК МОСКОВСКОЙ ОБЛАСТИ; КРАСНОАРМЕЙСКИЙ ПУШКИНСКОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ; КУЗНЕЧИКИ ПОДОЛЬСКОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ; ЛИДИНО РУЗСКОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ; ЛОБНЯ МОСКОВСКОЙ ОБЛАСТИ; ЛУХОВИЦЫ МОСКОВСКОЙ ОБЛАСТИ; ЛЮБАНОВО НАРОФОМИНСКОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ; ЛЮБЕРЦЫ МОСКОВСКОЙ ОБЛАСТИ; МЕНДЕЛЕЕВО СОЛНЕЧНОГОРСКОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ; МОСКОВСКИЙ КУЛЯБСКОЙ ОБЛАСТИ РЕСПУБЛИКИ; МЫТИЩИ МОСКОВСКОЙ ОБЛАСТИ; НАРО-ФОМИНСК МОСКОВСКОЙ ОБЛАСТИ; НЕКРАСОВСКИЙ ДМИТРОВСКОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ; НОВО-ХАРИТОНОВО РАМЕНСКОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ; НОГИНСК МОСКОВСКОЙ ОБЛАСТИ; ОДИНЦОВО МОСКОВСКОЙ ОБЛАСТИ; ОДИНЦОВСКОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ; ОЖЕРЕЛЬЕ КАШИРСКОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ; ОЗЕРЫ МОСКОВСКОЙ ОБЛАСТИ; ОРЕХО-ЗУЕВО МОСКОВСКОЙ ОБЛАСТИ; ОРЕХОВО-ЗУЕВО МОСКОВСКОЙ ОБЛАСТИ; ОХОТА СЕРПУХОВСКОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ; ПОДОЛЬСК МОСКОВСКОЙ ОБЛАСТИ; ПРОВОДНИК КОЛОМЕНСКОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ; ПРОТВИНО МОСКОВСКОЙ ОБЛАСТИ; ПРОТВИНО СЕРПУХОВСКОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ; ПУШКИНО МОСКОВСКОЙ ОБЛАСТИ; РАМЕНСКОЕ МОСКОВСКОЙ ОБЛАСТИ; РЕШЕТНИКОВО КЛИНСКОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ; РОДНИКИ РАМЕНСКОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ; РОШАЛЬ МОСКОВСКОЙ ОБЛАСТИ; СЕРГИЕВ ПОСАД МОСКОВСКОЙ ОБЛАСТИ; СЕРГИЕВО-ПОСАДСКОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ; СЕРПУХОВ МОСКОВСКАЯ ОБЛАСТИ; СЕРПУХОВ МОСКОВСКОЙ ОБЛАСТИ; СКОРОПУСКОВСКИЙ ЗАГОРСКОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ; СТУПИНО МОСКОВСКОЙ ОБЛАСТИ; ТАЛДОМ МОСКОВСКОЙ ОБЛАСТИ; ТАТАРИНОВО СТУПИНСКОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ; ТОМИЛИНО ЛЮБЕРЕЦКОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ; ТРОИЦК МОСКОВСКОЙ ОБЛАСТИ; ТРОИЦКОЕ ЧЕХОВСКОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ; ТУЧКОВО РУЗСКОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ; ФРЯЗИНО МОСКОВСКОЙ ОБЛАСТИ; ХИМКИ МОСКОВСКОЙ ОБЛАСТИ; ХОТЬКОВО МОСКОВСКОЙ ОБЛАСТИ; ЧЕХОВ МОСКОВСКОЙ ОБЛАСТИ; ЩЕЛКОВО МОСКОВСКОЙ ОБЛАСТИ; ЩЕРБИНКА ПОДОЛЬСКОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ; ЭЛЕКТРОГОРСК МОСКОВСКОЙ ОБЛАСТИ; ЭЛЕКТРОСТАЛЬ МОСКОВСКОЙ ОБЛАСТИ; ЭЛЕКТРОУГЛИ НОГИНСКОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ; ЯКОВЛЕВСКОЕ НАРО-ФОМИНСКОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ; ЯХРОМА ДМИТРОВСКОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ
recmj6qAvgI2FGp2e,Мурманская область,АПАТИТЫ МУРМАНСКОЙ ОБЛАСТИ; ВИДЯЕВО МУРМАНСКОЙ ОБЛАСТИ; ГАДЖИЕВО МУРМАНСКОЙ ОБЛАСТИ; ГАДЖИЕВО СЕВЕРОМОРСКОГО РАЙОНА МУРМАНСКОЙ ОБЛАСТИ; ЗАПОЛЯРНЫЙ МУРМАНСКОЙ ОБЛАСТИ; КАНДАЛАКША МУРМАНСКОЙ ОБЛАСТИ; КАНДАЛАКШИ МУРМАНСКОЙ ОБЛАСТИ; КОВДОР МУРМАНСКОЙ ОБЛАСТИ; КОЛА МУРМАНСКОЙ ОБЛАСТИ; КОРЗУНОВО ПЕЧЕНГСКОГО РАЙОНА МУРМАНСКОЙ ОБЛАСТИ; МОНЧЕГОРСК МУРМАНСКОЙ ОБЛАСТИ; МУРМАНСК МУРМАНСКОЙ ОБЛАСТИ; НИКЕЛЬ ПЕЧЕНГСКОГО РАЙОНА МУРМАНСКОЙ ОБЛАСТИ; ПОЛЯРНЫЕ ЗОРИ МУРМАНСКОЙ ОБЛАСТИ; ПОЛЯРНЫЙ МУРМАНСКАЯ ОБЛАСТИ; ПОЛЯРНЫЙ МУРМАНСКОЙ ОБЛАСТИ; СЕВЕРОМОРСК МУРМАНСКОЙ ОБЛАСТИ; СЕРЕБРЯНСКИЙ КОЛЬСКОГО РАЙОНА МУРМАНСКОЙ ОБЛАСТИ; ТЕРИБЕРКА МУРМАНСКОЙ ОБЛАСТИ
recGcl8eMHUTtvDPn,Нижегородская область,БАЛАХНА НИЖЕГОРОДСКОЙ ОБЛАСТИ; БОР НИЖЕГОРОДСКОЙ ОБЛАСТИ; БУРЕПОЛОМ ТОНШАЕВСКОГО РАЙОНА НИЖЕГОРОДСКОЙ ОБЛАСТИ; ВРАГ ШАТКОВСКОГО РАЙОНА НИЖЕГОРОДСКОЙ ОБЛАСТИ; ГОРЬКИЙ НИЖЕГОРОДСКОЙ ОБЛАСТИ; ДЗЕРЖИНСК НИЖЕГОРОДСКОЙ ОБЛАСТИ; ЗАВОЛЖЬЕ ГОРОДЕЦКОГО РАЙОНА НИЖЕГОРОДСКОЙ ОБЛАСТИ; КЕРЖЕНЕЦ БОРСКОГО РАЙОНА НИЖЕГОРОДСКОЙ ОБЛАСТИ; КРАСНЫЕ БАКИ КРА; КУЛЕБАКИ НИЖЕГОРОДСКОЙ ОБЛАСТИ; ЛЫСКОВО НИЖЕГОРОДСКОЙ ОБЛАСТИ; МЕДВЕДКОВО БОРСКОГО РАЙОНА НИЖЕГОРОДСКОЙ ОБЛАСТИ; ОБХОД УРЕНСКОГО РАЙОНА НИЖЕГОРОДСКОЙ ОБЛАСТИ; ПАВЛОВО НИЖЕГОРОДСКОЙ ОБЛАСТИ; РОЖДЕСТВЕНО БОЛЬШЕМУРАШКИНСКОГО РАЙОНА НИЖЕГОРОДСКОЙ ОБЛАСТИ; САРОВ НИЖЕГОРОДСКОЙ ОБЛАСТИ; СИЛИНСКИЙ-МАЙДАН ШАТКОВСКОГО РАЙОНА НИЖЕГОРОДСКОЙ ОБЛАСТИ; ТОНШАЕВО ТОНШАЕВСКОГО РАЙОНА НИЖЕГОРОДСКОЙ ОБЛАСТИ; ТРОФИМОВО ЛЫСКОВСКОГО РАЙОНА НИЖЕГОРОДСКОЙ ОБЛАСТИ; ШАТКИ ШАТКОВСКОГО РАЙОНА НИЖЕГОРОДСКОЙ ОБЛАСТИ
recfqATNRyeCRClYW,Николаевская область,БЕРЕЗНЕГОВАТОЕ НИКОЛАЕВСКОЙ ОБЛАСТИ; БОГАЧЕВКА КРИВООЗЕРСКОГО РАЙОНА НИКОЛАЕВСКОЙ ОБЛАСТИ; ВОЗНЕСЕНСК НИКОЛАЕВСКОЙ ОБЛАСТИ; КОНЕЦПОЛЬ НИКОЛАЕВСКОЙ ОБЛАСТИ; НИКОЛАЕВ НИКОЛАЕВСКОЙ ОБЛАСТИ; НИКОЛАЕВСКАЯ ОБЛАСТЬ РЕСПУБЛИКИ; ОЧАКОВ ОЧАКОВСКОГО РАЙОНА НИКОЛАЕВСКОЙ ОБЛАСТИ; САДОВОЕ СНИГИРЕВСКОГО РАЙОНА НИКОЛАЕВСКОЙ ОБЛАСТИ; ТАРАСОВКА НИКОЛАЕВСКОЙ ОБЛАСТИ; ЯВКИНО БАШТАНСКОГО РАЙОНА НИКОЛАЕВСКОЙ ОБЛАСТИ
recPeYB1L1Y8WsPu9,Новгородская область,БОЛОТНОЕ НОВГОРОДСКОГО РАЙОНА НОВГОРОДСКОЙ ОБЛАСТИ; ВАЛДАЙСКОГО РАЙОНА НОВГОРОДСКОЙ ОБЛАСТИ; ВЕЛИКИЙ НОВГОРОД НОВГОРОДСКОЙ ОБЛАСТИ; ВЕРБЛЮЖКА НОВГОРОДСКИЙ РАЙОН КИРОВОГРАДСКОЙ ОБЛАСТИ; ГОРИЕШНО ОКУЛОВСКОГО РАЙОНА НОВГОРОДСКОЙ ОБЛАСТИ; МАЛАЯ ВИШЕРА НОВГОРОДСКОЙ ОБЛАСТИ; НИЛЬСКО НОВГОРОДСКОГО РАЙОНА НОВГОРОДСКОЙ ОБЛАСТИ; НОВГОРОД НОВГОРОДСКОЙ ОБЛАСТИ; НОВГОРОДА НОВГОРОДСКОЙ ОБЛАСТИ; ПЕСТОВО НОВГОРОДСКОЙ ОБЛАСТИ; ПОСАД БОРОВИЧСКОГО РАЙОНА НОВГОРОДСКАЯ ОБЛАСТЬ; ПОСАД БОРОВИЧСКОГО РАЙОНА НОВГОРОДСКОЙ ОБЛАСТИ; ПРОЛЕТАРИЙ НОВГОРОДСКОГО РАЙОНА НОВГОРОДСКОЙ ОБЛАСТИ; РУССА СТАРОРУССКОГО РАЙОНА НОВГОРОДСКОЙ ОБЛАСТИ; СОЛЬЦЫ СОЛЕЦКОГО РАЙОНА НОВГОРОДСКОЙ ОБЛАСТИ; ЧУДОВО НОВГОРОДСКОЙ ОБЛАСТИ
